# x, y, gamma, sigma
1.960488035976380772e+00 1.556164728773407578e-02 2.449503658967646172e-02 -9.349322261116626009e-01
1.882500079796356918e+00 4.683072989187415935e-02 2.449504480615203456e-02 -6.055013389050633021e-01
1.804562521431011479e+00 7.822620625720946852e-02 2.449510117991646890e-02 -4.407563609591330644e-01
1.726516018282364673e+00 1.093498720755974873e-01 2.449515685572443285e-02 -3.474601283585301292e-01
1.648276501974514918e+00 1.399860452913990472e-01 2.449552395788135231e-02 -2.863229696541220171e-01
1.569795614201392908e+00 1.699978151357473821e-01 2.449506809933249193e-02 -2.428281960058977784e-01
1.491056747083734146e+00 1.993236182557934222e-01 2.449512674923225511e-02 -2.099503148307019229e-01
1.412040349480650825e+00 2.278925230888961539e-01 2.449502631068463041e-02 -1.839676931802806947e-01
1.332734401973010518e+00 2.556477012825060235e-01 2.449523482161782700e-02 -1.624733751884022692e-01
1.253126194121830572e+00 2.825242149609096254e-01 2.449526372731770582e-02 -1.443242226876093326e-01
1.173190729795239751e+00 3.084091270523792727e-01 2.449513380412753072e-02 -1.287548219045633602e-01
1.092928814270898163e+00 3.332624978385316794e-01 2.449498111237502149e-02 -1.154805056951212633e-01
1.012361789292288705e+00 3.571080424536912101e-01 2.449512780892311795e-02 -1.038008902232123720e-01
9.314985651155091029e-01 3.799298846181057288e-01 2.449514608407808020e-02 -9.343401277826986207e-02
8.503494271974466612e-01 4.017155821084588130e-01 2.449549541041914566e-02 -8.409537013112790282e-02
7.688965040729291989e-01 4.223335406094443911e-01 2.449526372731769541e-02 -7.512225259849401870e-02
6.871266681509278218e-01 4.416533293841092833e-01 2.449509270439341468e-02 -6.704421995662211697e-02
6.050777122273272024e-01 4.597526931035754716e-01 2.449508970275219091e-02 -6.006243757150740020e-02
5.227849841549457865e-01 4.767090358871890476e-01 2.449507907534278703e-02 -5.359180529007977895e-02
4.402522751325251837e-01 4.924550213083889183e-01 2.449526372731770235e-02 -4.729761360065351528e-02
3.574556783201030541e-01 5.067386268330134058e-01 2.449506520640131260e-02 -4.058379448532072054e-02
2.744209269266610907e-01 5.195759834888066253e-01 2.449513073002967944e-02 -3.538844018067677233e-02
1.912026742962080750e-01 5.311637410801047787e-01 2.449504961970353639e-02 -3.045551450521154571e-02
1.078138313923499847e-01 5.414515852406003305e-01 2.449526372731770235e-02 -2.561488643169003085e-02
2.424364228384100900e-02 5.501213189467698550e-01 2.449523155948343800e-02 -1.966958287529506008e-02
-5.948184910346421272e-02 5.571609494696694309e-01 2.449504024776262903e-02 -1.544417168299716189e-02
-1.433115693606991092e-01 5.628191885939906047e-01 2.449503884048810642e-02 -1.136135660316685107e-02
-2.272247492558702175e-01 5.670607959336959603e-01 2.449504597732334726e-02 -7.419880439236711464e-03
-3.112051647464275650e-01 5.695558635334921904e-01 2.449526372731771276e-02 -2.043858494729150835e-03
-3.952223922874698037e-01 5.702277011198817469e-01 2.449498627913006960e-02 1.842203219383067858e-03
-4.792372803124709812e-01 5.693150431957070268e-01 2.449519775917929215e-02 5.498288649692464371e-03
-5.632191392965320009e-01 5.667938465026109984e-01 2.449506109977738280e-02 9.093685114725141502e-03
-6.471302451483582630e-01 5.625407232880456077e-01 2.449526372731770235e-02 1.298657914482807124e-02
-7.309146636510595041e-01 5.562872250182641087e-01 2.449549287033252892e-02 1.766484851340892337e-02
-8.145280632775766527e-01 5.480377775460574252e-01 2.449514148434728950e-02 2.118619782005395913e-02
-8.979362530244927587e-01 5.379302459241572798e-01 2.449519611770279576e-02 2.470905721252709616e-02
-9.810853336776539368e-01 5.258794846986518667e-01 2.449512990597509099e-02 2.825655654275814610e-02
-1.063912926908994860e+00 5.117911366919835059e-01 2.449524137593581813e-02 3.184599218247003566e-02
